wind_speed_m/s,substation,transmission,poles,power_plant_ds4,power_plant_ds3,power_plant_ds2,power_plant_ds1,wind_farm,hydro_plant,solar_farm
0,0,0,0,0,0,0,0,0,0,
10,0,0,0,0,0,0,0,0,0,
20,1.023703072,0,0,0,0,0,0.060676292,0,0,
30,5.940632728,0,0,0.21071349,0.21071349,1.952191609,6.734588582,0,0,
40,12.42362198,5.765469291,0,56.171959,56.18060892,56.171959,67.06569925,0,0,
50,19.92950231,19.83630487,2.317539125,97.6668672,97.21286658,97.21286658,100,0,0,
60,36.43653838,72.63730499,11.11266881,100,100,100,100,0,0,
70,76.60871616,98.41376388,27.38728542,100,100,100,100,0,0,
80,93.89370916,100,47.24915147,100,100,100,100,0,0,
90,95.33,100,65.61880207,100,100,100,100,0,0,
100,95.33,100,79.73377262,100,100,100,100,0,0,
110,95.33,100,88.86824172,100,100,100,100,0,0,
120,95.33,100,94.257213,100,100,100,100,0,0,
