climatescenario,subsidence_model,year,returnperiod,cell_count_baseline,cost_usd_baseline
historical,wtsub,2030,rp0100,139,3334000
historical,wtsub,2030,rp0250,144,3402000
historical,wtsub,2030,rp0500,144,3414000
historical,wtsub,2030,rp1000,144,3508000
historical,wtsub,2050,rp0100,139,3334000
historical,wtsub,2050,rp0250,144,3402000
historical,wtsub,2050,rp0500,144,3414000
historical,wtsub,2050,rp1000,144,3508000
historical,wtsub,2080,rp0100,139,3334000
historical,wtsub,2080,rp0250,144,3402000
historical,wtsub,2080,rp0500,144,3414000
historical,wtsub,2080,rp1000,144,3508000
historical,wtsub,hist,rp0100,139,3334000
historical,wtsub,hist,rp0250,144,3402000
historical,wtsub,hist,rp0500,144,3414000
historical,wtsub,hist,rp1000,144,3508000
rcp4p5,wtsub,2030,rp0100,449,10796000
rcp4p5,wtsub,2030,rp0250,461,11020000
rcp4p5,wtsub,2030,rp0500,473,11428000
rcp4p5,wtsub,2030,rp1000,505,11834000
rcp4p5,wtsub,2050,rp0100,523,12404000
rcp4p5,wtsub,2050,rp0250,603,13766000
rcp4p5,wtsub,2050,rp0500,631,14422000
rcp4p5,wtsub,2050,rp1000,706,15602000
rcp4p5,wtsub,2080,rp0100,861,19016000
rcp4p5,wtsub,2080,rp0250,1203,26450000
rcp4p5,wtsub,2080,rp0500,1261,27272000
rcp4p5,wtsub,2080,rp1000,1345,28928000
rcp8p5,wtsub,2030,rp0100,456,10926000
rcp8p5,wtsub,2030,rp0250,468,11180000
rcp8p5,wtsub,2030,rp0500,503,11734000
rcp8p5,wtsub,2030,rp1000,507,11886000
rcp8p5,wtsub,2050,rp0100,602,13766000
rcp8p5,wtsub,2050,rp0250,656,14728000
rcp8p5,wtsub,2050,rp0500,734,16276000
rcp8p5,wtsub,2050,rp1000,764,16746000
rcp8p5,wtsub,2080,rp0100,2585,56588000
rcp8p5,wtsub,2080,rp0250,2620,60130000
rcp8p5,wtsub,2080,rp0500,2628,60792000
rcp8p5,wtsub,2080,rp1000,2942,67554000
