"","year","climatescenario","probability","unit","low","mean","high"
"1","1980","Historical","0.1%","cells_vulnerable_thousands",NA,52.6,NA
"2","1980","Historical","0.2%","cells_vulnerable_thousands",NA,49.4,NA
"3","1980","Historical","0.4%","cells_vulnerable_thousands",NA,46.8,NA
"4","1980","Historical","1%","cells_vulnerable_thousands",NA,42.5,NA
"5","2030","RCP4.5","0.1%","cells_vulnerable_thousands",59.9,61.5,63.5
"6","2030","RCP4.5","0.2%","cells_vulnerable_thousands",52.7,53.9,59.7
"7","2030","RCP4.5","0.4%","cells_vulnerable_thousands",49.4,50.7,52.8
"8","2030","RCP4.5","1%","cells_vulnerable_thousands",45.3,46.8,48.5
"9","2030","RCP8.5","0.1%","cells_vulnerable_thousands",60.1,61.8,63.7
"10","2030","RCP8.5","0.2%","cells_vulnerable_thousands",52.9,54.2,59.9
"11","2030","RCP8.5","0.4%","cells_vulnerable_thousands",49.6,51,53
"12","2030","RCP8.5","1%","cells_vulnerable_thousands",45.5,47.1,48.8
"13","2050","RCP4.5","0.1%","cells_vulnerable_thousands",65.5,68.1,71.6
"14","2050","RCP4.5","0.2%","cells_vulnerable_thousands",61.9,64.3,67.7
"15","2050","RCP4.5","0.4%","cells_vulnerable_thousands",54.5,56.9,64.3
"16","2050","RCP4.5","1%","cells_vulnerable_thousands",50.1,52.3,55.9
"17","2050","RCP8.5","0.1%","cells_vulnerable_thousands",66.4,69.1,76.1
"18","2050","RCP8.5","0.2%","cells_vulnerable_thousands",62.8,65.4,68.9
"19","2050","RCP8.5","0.4%","cells_vulnerable_thousands",55.2,62.1,65.6
"20","2050","RCP8.5","1%","cells_vulnerable_thousands",50.8,53.9,57.3
"21","2080","RCP4.5","0.1%","cells_vulnerable_thousands",75.1,83,95.3
"22","2080","RCP4.5","0.2%","cells_vulnerable_thousands",70.8,78.8,86.5
"23","2080","RCP4.5","0.4%","cells_vulnerable_thousands",67.3,72.6,82.3
"24","2080","RCP4.5","1%","cells_vulnerable_thousands",58.3,67.7,77
"25","2080","RCP8.5","0.1%","cells_vulnerable_thousands",81.7,92.2,101.4
"26","2080","RCP8.5","0.2%","cells_vulnerable_thousands",77.3,83.5,96.7
"27","2080","RCP8.5","0.4%","cells_vulnerable_thousands",70.8,79.3,88.4
"28","2080","RCP8.5","1%","cells_vulnerable_thousands",66.3,74.4,83.1
"29","1980","Historical","0.1%","costs_usd_billions",NA,1.22,NA
"30","1980","Historical","0.2%","costs_usd_billions",NA,1.14,NA
"31","1980","Historical","0.4%","costs_usd_billions",NA,1.06,NA
"32","1980","Historical","1%","costs_usd_billions",NA,0.95,NA
"33","2030","RCP4.5","0.1%","costs_usd_billions",1.38,1.42,1.47
"34","2030","RCP4.5","0.2%","costs_usd_billions",1.22,1.24,1.37
"35","2030","RCP4.5","0.4%","costs_usd_billions",1.13,1.16,1.21
"36","2030","RCP4.5","1%","costs_usd_billions",1.02,1.05,1.09
"37","2030","RCP8.5","0.1%","costs_usd_billions",1.38,1.42,1.47
"38","2030","RCP8.5","0.2%","costs_usd_billions",1.22,1.25,1.37
"39","2030","RCP8.5","0.4%","costs_usd_billions",1.13,1.17,1.22
"40","2030","RCP8.5","1%","costs_usd_billions",1.02,1.06,1.1
"41","2050","RCP4.5","0.1%","costs_usd_billions",1.52,1.58,1.67
"42","2050","RCP4.5","0.2%","costs_usd_billions",1.42,1.47,1.56
"43","2050","RCP4.5","0.4%","costs_usd_billions",1.25,1.31,1.46
"44","2050","RCP4.5","1%","costs_usd_billions",1.14,1.19,1.27
"45","2050","RCP8.5","0.1%","costs_usd_billions",1.54,1.6,1.82
"46","2050","RCP8.5","0.2%","costs_usd_billions",1.44,1.5,1.6
"47","2050","RCP8.5","0.4%","costs_usd_billions",1.27,1.41,1.5
"48","2050","RCP8.5","1%","costs_usd_billions",1.16,1.22,1.31
"49","2080","RCP4.5","0.1%","costs_usd_billions",1.77,2,2.33
"50","2080","RCP4.5","0.2%","costs_usd_billions",1.66,1.89,2.08
"51","2080","RCP4.5","0.4%","costs_usd_billions",1.56,1.69,1.96
"52","2080","RCP4.5","1%","costs_usd_billions",1.34,1.56,1.82
"53","2080","RCP8.5","0.1%","costs_usd_billions",1.97,2.26,2.49
"54","2080","RCP8.5","0.2%","costs_usd_billions",1.85,2,2.36
"55","2080","RCP8.5","0.4%","costs_usd_billions",1.65,1.89,2.12
"56","2080","RCP8.5","1%","costs_usd_billions",1.52,1.76,1.97
