radio,net,cell,latitude,longitude,gid_level,gid_id,cellid4326,depth,damage_low,damage_baseline,damage_high,cost_usd_low,cost_usd_baseline,cost_usd_high
GSM,6,81,5.52784,-0.298862,GID_2,GHA.5.5_1,5.52784_-0.298862,0.05644989,0.13,0.25,0.5,4333,8333,16667
UMTS,2,768057,5.795975,0.622787,GID_2,GHA.5.3_1,5.795975_0.622787,0.25302863,0.13,0.25,0.5,4333,8333,16667
GSM,3,43,5.8000948,0.6324004,GID_2,GHA.5.3_1,5.8000948_0.6324004,0.32474756,0.25,0.5,0.75,8333,16667,25000
UMTS,1,527768,5.792336,0.893588,GID_2,GHA.9.7_1,5.792336_0.893588,0.49826312,0.25,0.5,0.75,8333,16667,25000
GSM,6,45,5.543747,-0.280315,GID_2,GHA.5.1_1,5.543747_-0.280315,0.54445887,0.25,0.5,0.75,8333,16667,25000
GSM,6,75,5.996475,0.909805,GID_2,GHA.9.7_1,5.996475_0.909805,0.6543946,0.25,0.5,0.75,8333,16667,25000
GSM,1,148,5.787735,0.771103,GID_2,GHA.9.7_1,5.787735_0.771103,0.6796057,0.25,0.5,0.75,8333,16667,25000
GSM,1,146,5.823669333,0.827316133,GID_2,GHA.9.7_1,5.823669333333332_0.8273161333333334,1.1998343,0.33,0.65,1,11000,21667,33333
GSM,3,65,5.778125,0.762863,GID_2,GHA.9.7_1,5.778125_0.762863,1.3078246,0.33,0.65,1,11000,21667,33333
GSM,1,106,5.929713571,0.853487286,GID_2,GHA.9.7_1,5.929713571428572_0.8534872857142857,1.4070652,0.33,0.65,1,11000,21667,33333
GSM,1,67,5.810052429,0.857337429,GID_2,GHA.9.7_1,5.810052428571429_0.8573374285714283,1.8162754,0.4,0.8,1,13333,26667,33333
